"","stock","est_m","up_m","dn_m","sd","Year"
"1","BBRKC",0.0727591942116339,0.386273658834536,0.0137050513832577,0.85173,1975
"2","BBRKC",0.144454601104773,0.632306647985027,0.0330016011168575,0.75327,1976
"3","BBRKC",0.275053405046744,0.865740213357249,0.0873869256164369,0.58501,1977
"4","BBRKC",0.545937925096453,1.17122756542417,0.254475071162349,0.38944,1978
"5","BBRKC",0.278315476818649,0.753574043237613,0.102789507324322,0.5082,1979
"6","BBRKC",0.991436874218195,1.59272374848781,0.617148502050524,0.24186,1980
"7","BBRKC",0.394037183410042,1.16534921795438,0.133234999017948,0.55323,1981
"8","BBRKC",0.652594057988487,1.98313078407941,0.21475084141744,0.56708,1982
"9","BBRKC",0.430176366385484,1.50879361341844,0.122648786786253,0.64024,1983
"10","BBRKC",1.36724805407001,2.51546581219952,0.74314953210342,0.31105,1984
"11","BBRKC",0.198673997718125,0.649989155550559,0.0607261783250342,0.60474,1985
"12","BBRKC",0.125565216750742,0.447137466646089,0.035261244770929,0.64798,1986
"13","BBRKC",0.263192388242621,1.17494060807563,0.0589563700094667,0.76331,1987
"14","BBRKC",0.228410232823364,0.737179397896948,0.0707714222715114,0.5978,1988
"15","BBRKC",0.316367742477712,0.963882384109848,0.103838964307742,0.5684,1989
"16","BBRKC",0.397889878169191,1.11087323029255,0.142515231110395,0.52384,1990
"17","BBRKC",0.137145894009701,0.519794571639858,0.0361854418455761,0.67979,1991
"18","BBRKC",0.0945789824917401,0.376176812542361,0.0237792007134027,0.7044,1992
"19","BBRKC",0.113965443925428,0.510831647504321,0.0254254458833428,0.76538,1993
"20","BBRKC",0.107352228035587,0.443190136050713,0.0260035139024078,0.72341,1994
"21","BBRKC",0.0993615560689714,0.407948637901008,0.0242008868450813,0.7206,1995
"22","BBRKC",0.121670342767112,0.461973199187377,0.0320444396668605,0.68071,1996
"23","BBRKC",0.246485034329921,0.857581380561745,0.0708444394033205,0.63613,1997
"24","BBRKC",0.41825248404231,1.0635615192368,0.164480509348527,0.47617,1998
"25","BBRKC",0.247449192716538,0.880095900153796,0.0695732169248443,0.64736,1999
"26","BBRKC",0.105961442610534,0.414144968910626,0.0271108625311549,0.69548,2000
"27","BBRKC",0.0534985889603976,0.181953958351473,0.0157297980581713,0.62454,2001
"28","BBRKC",0.0493804836826837,0.175912740412645,0.0138616007175823,0.64818,2002
"29","BBRKC",0.0657760163668214,0.2393846515665,0.0180733572548468,0.65909,2003
"30","BBRKC",0.156424783679659,0.560598901366039,0.0436474507702458,0.65124,2004
"31","BBRKC",0.551027809577668,1.17574642355851,0.258245860539378,0.38667,2005
"32","BBRKC",0.422595424872722,1.03353855012459,0.17279170970626,0.45629,2006
"33","BBRKC",0.427124388590939,1.13093870470249,0.161313113231167,0.4968,2007
"34","BBRKC",0.336637027102482,1.19723747654246,0.0946549788465279,0.64733,2008
"35","BBRKC",0.115902031586768,0.448790631296202,0.0299321776997483,0.69072,2009
"36","BBRKC",0.0703691726650324,0.26494929789492,0.0186896908235064,0.67642,2010
"37","BBRKC",0.0762071491366102,0.327407403922083,0.017737929900057,0.74375,2011
"38","BBRKC",0.0759712727715501,0.312759986152809,0.0184538769090153,0.72198,2012
"39","BBRKC",0.0943730248852652,0.321652084660653,0.0276891344739492,0.62562,2013
"40","BBRKC",0.336768341147626,1.12299721972911,0.100991270153529,0.61447,2014
"41","BBRKC",0.613423326390555,1.42512111059442,0.264039438166138,0.43008,2015
"42","BBRKC",0.555825990745942,1.41691560498933,0.218038767376716,0.47744,2016
"43","BBRKC",0.455773182506287,1.17325648141181,0.177053523405167,0.48242,2017
"44","BBRKC",0.527688041699157,1.28433002364154,0.21680928128019,0.45382,2018
"45","BBRKC",0.858558893956395,1.70338594066312,0.432740083615266,0.34955,2019
"46","BBRKC",0.288641455357687,0.950159703090394,0.0876840908744344,0.60788,2020
"47","BBRKC",0.780906386471133,1.22057883360237,0.499611141569297,0.22787,2021
"48","BBRKC",0.112606031386468,0.317731179879344,0.0399083222157342,0.52924,2022
"49","BBRKC",0.223197109238336,1.59420630824325,0.0312487469876128,1.0031,2023
"50","PIRKC",0.0744297166165254,0.412399969828542,0.0134330337558451,0.87354,1976
"51","PIRKC",0.0953119578812367,0.3123705298917,0.0290820306201876,0.60563,1977
"52","PIRKC",0.130294240196437,0.412669767623072,0.0411384364940273,0.58819,1978
"53","PIRKC",0.201215259738866,0.650109804733727,0.0622780651160343,0.59835,1979
"54","PIRKC",0.349095414556633,1.08792520427515,0.112018370367348,0.57994,1980
"55","PIRKC",0.528083956179803,1.20491039116615,0.231446808674801,0.42087,1981
"56","PIRKC",0.694529945254651,1.43433252266507,0.336304055881795,0.37001,1982
"57","PIRKC",0.595984868894481,1.55611697552007,0.228259166591548,0.48966,1983
"58","PIRKC",0.331678218980917,0.994515097308919,0.110617165334174,0.56025,1984
"59","PIRKC",0.168232218674107,0.500876557736609,0.0565050988369386,0.55664,1985
"60","PIRKC",0.102550491673436,0.294104068437606,0.0357581022198425,0.53754,1986
"61","PIRKC",0.0841125076094648,0.237701118289851,0.02976390682237,0.53003,1987
"62","PIRKC",0.0936210525858952,0.27931150908158,0.0313803806943413,0.55769,1988
"63","PIRKC",0.128232532889515,0.426001675338933,0.0385998070974202,0.61255,1989
"64","PIRKC",0.193621510956394,0.725930934663576,0.0516430526857367,0.67426,1990
"65","PIRKC",0.285608867594034,1.04947327977781,0.0777270148941916,0.66399,1991
"66","PIRKC",0.399225044415862,1.15689119133596,0.137766314829312,0.54284,1992
"67","PIRKC",0.581973712381601,1.29717964002071,0.261099844195685,0.40894,1993
"68","PIRKC",0.833601340415735,1.69998053330577,0.408764207076908,0.36358,1994
"69","PIRKC",0.922101476686278,2.13073459383771,0.399050700995836,0.42733,1995
"70","PIRKC",0.539080698691894,1.15228531398649,0.252201426308856,0.38757,1996
"71","PIRKC",0.371324104761212,0.875753692961938,0.157443344955108,0.43776,1997
"72","PIRKC",0.318365240581256,0.821034621913881,0.123449637451455,0.48335,1998
"73","PIRKC",0.352216230778413,1.00984211817952,0.122847196596823,0.5374,1999
"74","PIRKC",0.412759574335123,1.11226624930816,0.153174175977455,0.50576,2000
"75","PIRKC",0.507880040518946,1.25008056345331,0.206340409649253,0.45955,2001
"76","PIRKC",0.543291103766054,1.29438127363375,0.228035764611082,0.44293,2002
"77","PIRKC",0.476665639163341,1.23458885040533,0.18403708366911,0.48555,2003
"78","PIRKC",0.364371983671555,1.05960351955649,0.125298699026892,0.54463,2004
"79","PIRKC",0.274180947012332,0.76724630607018,0.0979805195669495,0.52501,2005
"80","PIRKC",0.272819465796363,0.772300929391723,0.0963749467141465,0.5309,2006
"81","PIRKC",0.30777262473974,0.868978582643781,0.109006125618195,0.52957,2007
"82","PIRKC",0.321750139158804,0.929607523175864,0.111362214125633,0.54132,2008
"83","PIRKC",0.272158952277077,0.814532459237422,0.0909362106623749,0.5593,2009
"84","PIRKC",0.205255445488066,0.638595784424663,0.0659725587453743,0.57909,2010
"85","PIRKC",0.159710895706328,0.494176963615253,0.0516162672187542,0.57629,2011
"86","PIRKC",0.148510442996974,0.455012494485738,0.0484719693336875,0.57126,2012
"87","PIRKC",0.177891760629618,0.536016679459989,0.0590382346530461,0.56275,2013
"88","PIRKC",0.274675466507096,0.796730978366343,0.0946952157622766,0.54333,2014
"89","PIRKC",0.476455952416576,1.25839764331859,0.180396296670204,0.49552,2015
"90","PIRKC",0.703899280873639,1.60056261210001,0.309562521246414,0.41912,2016
"91","PIRKC",0.743727927405994,1.56713513861999,0.35295694440921,0.38027,2017
"92","PIRKC",0.611726494972935,1.41193344120045,0.26503324712935,0.42675,2018
"93","PIRKC",0.431978266945519,0.997934136838752,0.18699152201004,0.4272,2019
"94","PIRKC",0.316702319974567,0.759642159003329,0.132036325641628,0.44637,2020
"95","PIRKC",0.27063154385261,0.716114076494025,0.10227620840331,0.49647,2021
"96","PIRKC",0.273918133523357,0.654603480461849,0.11462075303966,0.44449,2022
"97","PIRKC",0.292585016453557,2.67470742357053,0.032005740552681,1.129,2023
"98","SMBKC",0.405060030258106,2.73841147875651,0.059915622391125,0.97505,1978
"99","SMBKC",0.169535997513336,1.52094826668526,0.0188977199832595,1.1194,1979
"100","SMBKC",0.0955218750127536,1.14601648155526,0.00796186508030789,1.2677,1980
"101","SMBKC",0.0942202643543898,0.595830409635248,0.0148993036801288,0.94098,1981
"102","SMBKC",0.302667631887022,1.47485547213836,0.0621129982718089,0.808,1982
"103","SMBKC",1.21154935597135,2.10498091376873,0.697323112220804,0.28184,1983
"104","SMBKC",0.70772477269388,1.55737856384358,0.32161374601719,0.4024,1984
"105","SMBKC",0.170677409210311,0.816295546707763,0.0356865575614526,0.79847,1985
"106","SMBKC",0.0625618256991716,0.351879109955031,0.0111230872310485,0.88119,1986
"107","SMBKC",0.0441836706706249,0.255705215485543,0.00763455978097019,0.89575,1987
"108","SMBKC",0.048938053252875,0.281891227651512,0.00849594744800631,0.89335,1988
"109","SMBKC",0.0776293268393845,0.558510421971343,0.0107899730219272,1.0068,1989
"110","SMBKC",0.110393944189458,0.715550716427088,0.0170313894374348,0.95357,1990
"111","SMBKC",0.150892140307832,0.985459942593841,0.0231043769742173,0.95742,1991
"112","SMBKC",0.219046772261185,0.839500002068983,0.0571548401665172,0.68547,1992
"113","SMBKC",0.655996385474917,1.36504200355685,0.315251293831878,0.37387,1993
"114","SMBKC",0.257875079319969,0.946470004312266,0.0702606064970872,0.6634,1994
"115","SMBKC",0.0857404988206781,0.411550971079497,0.017862752501193,0.80031,1995
"116","SMBKC",0.106728185397971,0.54067182085299,0.0210680585135227,0.82782,1996
"117","SMBKC",0.463499487358265,1.5754188918578,0.136364858826871,0.62422,1997
"118","SMBKC",1.87742282759416,2.75358472726842,1.280046493092,0.19541,1998
"119","SMBKC",0.283158066045367,0.993494453295312,0.0807035108254595,0.64042,1999
"120","SMBKC",0.199287335238859,0.779454315221311,0.0509528797403976,0.69584,2000
"121","SMBKC",0.607805712434806,1.76806972384188,0.208944126516484,0.54479,2001
"122","SMBKC",0.242474191760043,1.10836371822082,0.0530455235074493,0.77538,2002
"123","SMBKC",0.104802253967815,0.726274526469269,0.0151230864314213,0.98768,2003
"124","SMBKC",0.0655462027180243,0.462497003948421,0.00928936761551752,0.99688,2004
"125","SMBKC",0.0530935408168738,0.331307874987346,0.00850847290177061,0.93418,2005
"126","SMBKC",0.0552161387373585,0.346136940650036,0.00880813810666269,0.93652,2006
"127","SMBKC",0.0658681672803231,0.480252150244213,0.0090340365132408,1.0136,2007
"128","SMBKC",0.0735558718731748,0.555127201280314,0.00974635412306319,1.0312,2008
"129","SMBKC",0.0978166960748512,0.69137701236553,0.013839201853505,0.99775,2009
"130","SMBKC",0.251329613537623,1.50068609469857,0.0420917971214085,0.91169,2010
"131","SMBKC",0.885856770520455,2.29495491858157,0.341942323800395,0.48567,2011
"132","SMBKC",0.927279730533999,2.51048007551433,0.342503295304204,0.50815,2012
"133","SMBKC",0.186951884009151,0.947260826261143,0.0368969200093741,0.82792,2013
"134","SMBKC",0.155582366421459,1.14801228607956,0.0210850293457779,1.0197,2014
"135","SMBKC",0.361895421419425,2.39629069974678,0.0546545943103577,0.96445,2015
"136","SMBKC",0.564734257041745,3.00466595876624,0.106143173801405,0.85284,2016
"137","SMBKC",0.213119124426008,1.65121602281875,0.0275068558979784,1.0446,2017
"138","SMBKC",0.135569615915935,1.50945098708203,0.0121760301704949,1.2296,2018
"139","SMBKC",0.237798881088346,3.95622386149728,0.0142935055817261,1.4345,2019
"140","SMBKC",0.512384479105951,4.15293785227931,0.063217380988397,1.0676,2020
"141","SMBKC",0.453649683972322,4.13979388348499,0.0497121454740016,1.1281,2021
"142","SMBKC",0.331297008267262,6.48671344809319,0.0169203878921309,1.5176,2022
"143","SMBKC",0.197404570254301,3.54716254219176,0.0109858411882098,1.4738,2023
"144","PIBKC",0.00524332206322023,0.0310061409175662,0.000886676814497624,0.90675,1975
"145","PIBKC",0.010232360323212,0.0393866796417051,0.00265828952164777,0.68769,1976
"146","PIBKC",0.0202055087774322,0.0595780536542994,0.00685256667369206,0.5517,1977
"147","PIBKC",0.0407581279617726,0.102284452197928,0.0162412268849388,0.46944,1978
"148","PIBKC",0.0836294122160288,0.184883311788062,0.0378286094075153,0.40476,1979
"149","PIBKC",0.170331285504038,0.329875753487695,0.0879505283874714,0.33723,1980
"150","PIBKC",0.32244587057882,0.537109335991325,0.193575744241043,0.26034,1981
"151","PIBKC",0.513728686584073,0.743239309989373,0.355090426289711,0.18843,1982
"152","PIBKC",0.622196076741842,0.855190352775231,0.452680454891297,0.16228,1983
"153","PIBKC",0.522348651136616,0.757593740060602,0.360150960754264,0.1897,1984
"154","PIBKC",0.326191710970319,0.51861535383539,0.205163675774081,0.23657,1985
"155","PIBKC",0.187402981403638,0.327969192603025,0.10708285482619,0.28554,1986
"156","PIBKC",0.117294196529323,0.225108223293935,0.0611169522736405,0.3326,1987
"157","PIBKC",0.0872916908441785,0.183133185725925,0.0416081840122598,0.37804,1988
"158","PIBKC",0.0798280765452218,0.182971001581557,0.034828042421079,0.42319,1989
"159","PIBKC",0.088390569048633,0.218270884089398,0.0357944795492798,0.46121,1990
"160","PIBKC",0.112851780303886,0.28784613358456,0.0442442083871703,0.47773,1991
"161","PIBKC",0.15438126336779,0.377865260730866,0.0630742673537552,0.45669,1992
"162","PIBKC",0.209988607444616,0.453866761902035,0.0971545373178193,0.39324,1993
"163","PIBKC",0.270203473026142,0.49382879040195,0.147844593621127,0.30766,1994
"164","PIBKC",0.328049751728984,0.53342777338577,0.201745475167864,0.24804,1995
"165","PIBKC",0.375803078567252,0.592014115874383,0.238555044674966,0.23187,1996
"166","PIBKC",0.413937617035438,0.652958307088892,0.262412391322331,0.23255,1997
"167","PIBKC",0.450012463470592,0.705480886633693,0.287054151452895,0.22939,1998
"168","PIBKC",0.481056765618894,0.732328276783658,0.315999831064936,0.21441,1999
"169","PIBKC",0.51486528245726,0.759820999816297,0.348879879792588,0.19856,2000
"170","PIBKC",0.536977008554346,0.78705055107789,0.366360594400293,0.19507,2001
"171","PIBKC",0.535127629887386,0.813397629356486,0.352056079257871,0.21363,2002
"172","PIBKC",0.51292276535984,0.819844000594341,0.320902224122712,0.23928,2003
"173","PIBKC",0.469484497522673,0.779435296768046,0.282788955450283,0.25864,2004
"174","PIBKC",0.422375732376788,0.736744590333033,0.242148041046605,0.28385,2005
"175","PIBKC",0.374628653864805,0.688149202817633,0.203947963206098,0.31024,2006
"176","PIBKC",0.336832333211498,0.649157701675456,0.174774204178546,0.33474,2007
"177","PIBKC",0.312200396775484,0.628210485925017,0.155153551127453,0.35675,2008
"178","PIBKC",0.301197223869381,0.624581158683755,0.145248966295758,0.3721,2009
"179","PIBKC",0.300760804375368,0.62463037761826,0.144816942450725,0.37288,2010
"180","PIBKC",0.309452707945908,0.631395013764385,0.15166571855569,0.36384,2011
"181","PIBKC",0.324558331793132,0.653679048180961,0.161146530593986,0.35722,2012
"182","PIBKC",0.338199270340259,0.68152659799577,0.167827267189641,0.3575,2013
"183","PIBKC",0.342196549794121,0.700205090795699,0.167234543464876,0.3653,2014
"184","PIBKC",0.328578337226414,0.691965486228934,0.156024723549226,0.37998,2015
"185","PIBKC",0.2921347822975,0.64352319984542,0.132617955418713,0.40293,2016
"186","PIBKC",0.245696068697546,0.587849921033166,0.102690424908679,0.44509,2017
"187","PIBKC",0.204156177920834,0.543389774389519,0.0767032192132604,0.49946,2018
"188","PIBKC",0.175280102310076,0.504184805772864,0.0609362160740554,0.53906,2019
"189","PIBKC",0.1604103595359,0.454251985851726,0.0566458358969854,0.53108,2020
"190","PIBKC",0.15926114542638,0.385101015957247,0.0658635303245693,0.45049,2021
"191","PIBKC",0.171680515057897,0.29724385989241,0.0991583114995661,0.28006,2022
